Prov,,Company name,Company Twitter,,Company Twitter,"Nb. of 
Employees",What do they do (Verbatim - 10 words max.)  ,Link to website,HQ City,HQ Country,CEO name,CEO Twitter,,CEO's Twitter,Link to jobpage
Legacy,Old,Divshot,divshot,twitter.com/,twitter.com/divshot,1-10,Divshot is an interface builder for web applications,http://divshot.com,"Santa Monica, CA",USA,Michael Bleigh,mbleigh,twitter.com/,twitter.com/mbleigh,
Legacy,Old,DNSimple,dnsimple,twitter.com/,twitter.com/dnsimple,11-50,Domain name services for developers,https://dnsimple.com,"Orlando, FL",USA,Anthony Eden,aeden,twitter.com/,twitter.com/aeden,
Legacy,Old,Docker,docker,twitter.com/,twitter.com/docker,201-500,An open platform for distributed applications for developers and sysadmins,http://www.docker.com,"San Francisco, CA",USA,Ben Golub,golubbe,twitter.com/,twitter.com/golubbe,https://www.docker.com/careers
Legacy,Old,doctorSIM,doctorsim,twitter.com/,twitter.com/doctorsim,11-50,Phone Unlock. Phone Checks. Operator Switch.,https://www.doctorsim.com/,Madrid,Spain,Hugo Meana,globile,twitter.com/,twitter.com/globile,https://www.doctorsim.com/gb-en/jobs.html
Legacy,Old,DoInbound,doinbound,twitter.com/,twitter.com/doinbound,1-10,Agency Project/Process Management Software,https://www.doinbound.com/,Pittsburgh,USA,Andrew Dymski,andrewjdymski,twitter.com/,twitter.com/andrewjdymski,https://www.doinbound.com/careers
Legacy,Old,Doist,todoist,twitter.com/,twitter.com/doist,51-200,"At Doist, we specialize in productivity software",doist.com,Santiago,Chile,Amir Salihefendic,amix3k,twitter.com/,twitter.com/amix3k,https://doist.com/jobs/
AL,Old,DojoMadness,DOJOMADNESS,twitter.com/,twitter.com/DOJOMADNESS,11-50,Master your play,https://dojomadness.com/,Berlin,Germany,Christian Gruber,,,https://angel.co/christian-gruber,https://angel.co/dojo-madness/jobs
Legacy,Old,Domino Data Lab,DominoDataLab,twitter.com/,twitter.com/DominoDataLab,11-50,Tools for data science teams.,https://www.dominodatalab.com/,"San Francisco, CA",USA,Nick Elprin,,,,https://www.dominodatalab.com/careers
MeteorJob,Old,doopoll,doopoll,twitter.com/,twitter.com/doopoll,1-10,"Create powerful, yet simple polls",https://doopoll.co/,Cardiff,UK,Marc Thomas,,,https://twitter.com/iammarcthomas?lang=en,https://doopoll.co/jobs/
Lukasz,Old,Dotsub,dotsub,twitter.com/,twitter.com/dotsub,1-10,The leading source for video translation and captions,https://dotsub.com/jobs,"New York, NY",USA,Michael Smolens,,,https://twitter.com/mlsmolens,
Legacy,Old,Doximity,doximity,twitter.com/,twitter.com/doximity,51-200,Largest online medical network of physicians.,https://www.doximity.com,"San Francisco, CA",USA,Jeff Tangney,jefftangney,twitter.com/,twitter.com/jefftangney,https://www.doximity.com/about/jobs
Legacy,Old,DramaFever,DramaFever,twitter.com/,twitter.com/DramaFever,51-200,DramaFever is an online video site for the distribution of international televised content,https://www.dramafever.com/,"New York, NY",USA,Seung Bak,,,,https://www.dramafever.com/company/careers.html
Legacy,Old,DRONAMICS,dronamics,twitter.com/,twitter.com/dronamics,1-10,We Build CARGO DRONES,http://www.dronamics.com/,Sofia,Bulgaria,Svilen Rangelov,,,,
Legacy,Old,DroneDeploy,DroneDeploy,twitter.com/,twitter.com/DroneDeploy,11-50,"DroneDeploy is apowerful, cloud-based drone mapping and analytics platform",https://www.dronedeploy.com/,"San Francisco, CA",USA,Mike Winn,mikewinn,twitter.com/,twitter.com/mikewinn,https://angel.co/dronedeploy/jobs
Legacy,Old,Duck Duck Go,duckduckgo,twitter.com/,twitter.com/duckduckgo,11-50,The search engine that doesn't track you.,https://duckduckgo.com/,"Paoli, PA",USA,Gabriel Weinberg,yegg,twitter.com/,twitter.com/yegg,https://duck.co/help/company/hiring
Legacy,Old,Eaternity,eaternity,twitter.com/,twitter.com/eaternity,1-10,We calculate CO2 for meals and restaurants.,http://www.eaternity.org/,Zurich,Switzerland,Manuel Klarmann,mklarmann,twitter.com/,twitter.com/mklarmann,
,New,Ebury,,,twitter.com/EburyUK,51-200,Financial solutions to grow your business,http://www.ebury.com/,London,UK,Salvador Garcia,,,,
Legacy,Old,Edify,3d1fy,twitter.com/,twitter.com/3d1fy,11-50,"Edify creates creative, performance-based, custom e-learning solutions ",http://www.edify.cr/,Alajuela,Costa Rica,,,,,http://www.edify.cr/joinus
remoteok,Old,Edison Nation,EdisonNation,twitter.com/,twitter.com/EdisonNation,51-200,We turn our users' product ideas into real-world products on store shelves.,https://twitter.com/EdisonNation,"Charlotte, NC",USA,Louis Foreman,,,https://twitter.com/louisforeman,https://stackoverflow.com/jobs/companies/edison-nation
Legacy,Old,Eet.nu,eetnu,twitter.com/,twitter.com/eetnu,11-50,Restaurant guide with tools for restaurants.,https://www.eet.nu/,Sittard,Netherlands,,,,,
remoteok,Old,Eezy,eezy,twitter.com/,twitter.com/eezy,11-50,Content for Creative Minds,http://www.eezy.com/#team-block,"Bowling Green, KY",USA,Shawn Rubel,,,https://twitter.com/shawnrubel,http://www.eezy.com/
Legacy,Old,ElasticSearch,elasticsearch,twitter.com/,twitter.com/elasticsearch,201-500,Search & Analyze Data in Real Time,https://www.elastic.co/,"Mountain View, CA ",USA,Steven Schuurman,stevenschuurman,twitter.com/,twitter.com/stevenschuurman,https://www.elastic.co/about/careers
Legacy,Old,ElevenYellow,elevenyellow,twitter.com/,twitter.com/elevenyellow,1-10,We invest technology and time in different projects,http://www.elevenyellow.com,Indonesia,Indonesia,José Sáez López,jsaez,twitter.com/,twitter.com/jsaez,x
Legacy,Old,EngageTech,AlchemyTecLtd,twitter.com/,twitter.com/EngageTP,11-50,"Makes it easy for businesses to find, hire and pay temporary workers ",https://engagetech.com,London,UK,Dave O'Flynn,,,twitter.com/daveoflynn,https://engagetech.workable.com/
WWR,Old,Enjin,enjin,twitter.com/,twitter.com/enjin,1-10,Smart cryptocurrency for gaming,https://enjincoin.io/,Singapore,Singapore,Maxim Blagov,,,,https://enjincoin.io/
Legacy,Old,Envato,envato,twitter.com/,twitter.com/envato,201-500,We help marketers build landing page,https://envato.com/,Melbourne,Australia,Collis Ta'eed,cyantaeed,twitter.com/,twitter.com/cyantaeed,http://careers.envato.com/
Legacy,Old,Erply,erply,twitter.com/,twitter.com/erply,51-200,Erply is next generation POSand retail software system,http://www.erply.com,"New York, NY",USA,Kris Hiiemaa,kristjanh,twitter.com/,twitter.com/kristjanh,https://erply.com/careers/
Legacy,Old,Estately,estately,twitter.com/,twitter.com/estately,1-10,Estately is a real estate search site where users can search for information,http://www.estately.com/,"Seattle, WA",USA,Galen Ward,galenward,twitter.com/,twitter.com/galenward,http://www.estately.com/about/jobs
Legacy,Old,Etsy,Etsy,twitter.com/,twitter.com/Etsy,501-1000,the world's most vibrant handmade marketplace,https://www.etsy.com/,"Brooklyn, NY",USA,Chad Dickerson,chaddickerson,twitter.com/,twitter.com/chaddickerson,https://www.etsy.com/careers/?ref=ftr
,,Evergiving,,,twitter.com/evergivingapp,11-50,Software for charities that acquire and manage regular donors,https://www.evergiving.com/,Sydney,Australia,James Goodridge,,,,
WWR,Old,EveryoneSocial,EveryoneSocial,twitter.com/,twitter.com/EveryoneSocial,11-50,Social Selling & Employee Advocacy,https://everyonesocial.com/resources/,"Salt Lake City, UT",USA,Cameron Brain,,,https://twitter.com/cameronbrain,https://everyonesocial.com/
,New,Explainify,,,twitter.com/explainify.com,1-10,We get inside your buyer’s mind to explain what you do and why people should care.,http://explainify.com/,"Fayetville, AR",USA,Eric Hinson,,,,
,,ExecVision,,,twitter.com/ExecVision_io,11-50,AI assisted coaching - enhancing human coaches with AI analysis,https://www.execvision.io/,"Rosslyn, VA",USA,David Stillman,,,,
Legacy,Old,Exposure Ninja,ExposureNinja,twitter.com/,twitter.com/ExposureNinja,51-200,"Digital Marketing Agency for SEO, PPC, and Digital PR",https://www.exposureninja.com/,Nottingham,USA,Tim Cameron-Kitchen,timninjakitchen,twitter.com/,twitter.com/timninjakitchen,https://www.exposureninja.com/working-with-exposure-ninja/
Legacy,Old,Eyeo,eyeo,twitter.com/,twitter.com/eyeo,11-50,We develop open source software that millions of people use every day ,https://eyeo.com,Koln,Germany,Till Faida,,,,https://eyeo.com/en/jobs/
,New,Fanatical Labs,,,N/A,1-10,We help companies get stuff done faster by connecting their internal systems.,https://fanaticallabs.com/,"Minneapolis, MN",USA,Chad Hutchins,,,,
,New,Farmstead,,,twitter.com/farmsteadapp,1-10,Make high quality food accessible to everyone,http://www.farmsteadapp.com/,"San Matteo, CA",USA,Pradeep Elankumaran,,,,
Legacy,Old,Fastly,fastly,twitter.com/,twitter.com/fastly,201-500,Fastly is the future of content delivery.,https://www.fastly.com/,"San Francisco, CA",USA,Artur Bergman,crucially,twitter.com/,twitter.com/crucially,https://www.fastly.com/about/careers
Legacy,Old,Fatura Simples,faturasimples,twitter.com/,twitter.com/faturasimples,1-10,Recurring Billing | Accounting and Subscription,https://www.faturasimples.com.br/,Recife,Brazil,Felipe Bagetti,,,,https://angel.co/fatura-simples/jobs
,New,Figma,,,twitter.com/figmadesign,51-200,Collaborative design tool enabling companies to create beautiful software,http://www.figma.com/,"San Francisco, CA",USA,Dylan Field,,,,
StackO Jobs,Old,Findify,getfindify,twitter.com/,twitter.com/getfindify,1-10,Real-Time Personalized Search,https://findify.io/careers/,Stockholm,Sweden,Meni Morim,,,https://twitter.com/Menimor,https://findify.io/careers/
,Old,FineTune learning,,,N/A,1-10,"Assessing, Evaluating, and Strengthening Complex Skills.",https://www.finetunelearning.com/,"Boston, MA",USA,Steve Shapiro,,,,
Legacy,Old,Fire Engine RED,185red,twitter.com/,twitter.com/185red,51-200,"Innovative marketing, technology, and data solutions for the education market.",http://fire-engine-red.com/,US,USA,Shelly Spiegel,,,,http://fire-engine-red.com/about/#careers
,New,First+Third,,,twitter.com/firstandthird_,1-10,Custom websites tailored to your business,https://firstandthird.com/,"Hermosa Beach, CA",USA,Greg Allen,,,,
Legacy,Old,Five Q,fiveq,twitter.com/,twitter.com/fiveq,11-50,Five Q is an interactive web development and marketing agency ,https://www.fiveq.com/,"Atlantic, IA ",USA,Chad Williams,chadw5Q,twitter.com/,twitter.com/chadw5Q,https://www.fiveq.com/careers/
Legacy,Old,Fleep,fleepio,twitter.com/,twitter.com/fleepio,11-50,Fleep is a secure messenger app that works with email. ,https://fleep.io,Estonia,Estonia,Henn Ruukel,hennruukel,twitter.com/,twitter.com/hennruukel,angle
WWR,Old,Fleetio,fleetio,twitter.com/,twitter.com/fleetio,11-50,"Track, analyze and improve your fleet operations",https://www.fleetio.com/careers,"Birmingham, AL",USA,Tony Summerville,,,https://twitter.com/summerville,https://www.fleetio.com/careers
Legacy,Old,Flight Vector,Flight_Vector,twitter.com/,twitter.com/Flight_Vector,11-50,EMS Air/Ground dispatching,http://flightvector.com/,"Sherwood, OR",USA,Scot Cromer,,,,http://flightvector.com/careers/
Legacy,Old,Flockler,getflockler,twitter.com/,twitter.com/getflockler,11-50,"With Flockler you can easily combine editorial, curated and social content",http://flockler.com/,London,UK,Toni Hopponen,tonihopponen,twitter.com/,twitter.com/tonihopponen,angel list
Legacy,Old,Flood IO,flood_io,twitter.com/,twitter.com/flood_io,1-10,Load testing service,https://flood.io/,Sydney,Australia,Mikel Lindsaar,lindsaar,twitter.com/,twitter.com/lindsaar,https://angel.co/flood-io
Legacy,Old,Flow,flowapp,twitter.com/,twitter.com/flowapp,11-50,Flow is project management software that simplifies teamwork.,https://www.getflow.com,British Columbia,Canada,Andrew Wilkinson,awilkinson,twitter.com/,twitter.com/awilkinson,angel list
,New,Flyreel,,,N/A,1-10,AI & Computer Vision Startup for Home Inspections,http://flyreel.com/,"Denver, CO",USA,Cole Winans,,,https://twitter.com/colewinans,
,Old,Focallocal,,,/twitter.com/Focallocal,1-10,Creative+Fun Activites2Change the World,http://focallocal.org/,London,UK,Andy Tulett,,,,
Legacy,Old,Focus Asia,focusasiatravel,twitter.com/,twitter.com/focusasiatravel,1-10,Focus Asia,http://focus.asia/,Singapore,Singapore,,,,,http://focus.asia/careers/
Legacy,Old,Fog Creek Software,fogcreek,twitter.com/,twitter.com/fogcreek,11-50,Tools for Software Teams,http://www.fogcreek.com/,"New York, NY",USA,Joel Spolsky,spolsky,twitter.com/,twitter.com/spolsky,http://www.fogcreek.com/careers
Legacy,Old,Folarium Technomedia,folariumtech,twitter.com/,twitter.com/folariumtech,1-10,Software Integrated Development,http://www.folarium.co.id/,Yogyakarta,Indonesia,,,,,http://www.folarium.co.id/career
Legacy,Old,Follow Up Boss,followupboss,twitter.com/,twitter.com/followupboss,11-50,Real Estate Sales CRM,http://www.followupboss.com,"San Francisco, CA",USA,Dan Corkill,buzzdan,twitter.com/,twitter.com/buzzdan,https://boards.greenhouse.io/followupboss#.WAZIKxB96b_
Legacy,Old,Fonoma,FonomaCuba,twitter.com/,twitter.com/FonomaCuba,11-50,Internationa Bill Payments platform,https://www.fonoma.com/,La Havana,Cuba,Hiram Centelles,hcentelles,twitter.com/,twitter.com/hcentelles,
Legacy,Old,Forest Admin,forestsaas,twitter.com/,twitter.com/forestsaas,1-10,The Admin Interface your application deserves,http://www.forestadmin.com,"San Francisco, CA",USA,Sandro Munda,seyz_,twitter.com/,twitter.com/seyz_,https://forestadmin.workable.com/
,New,Forget The Funnel,,,twitter.com/forgetthefunnel,1-10,Elevate those who are underestimated at tech companies.,https://forgetthefunnel.com/,Montreal,Canada,Georgiana Laudi,,,https://twitter.com/ggiiaa,
Legacy,Old,FormAssembly,formassembly,twitter.com/,twitter.com/formassembly,11-50,We specialize in web forms and data collection,https://www.formassembly.com/,"Bloomington, IN",USA,Cedric Savarese,,,https://twitter.com/cedsav,https://formassembly.workable.com/
Legacy,Old,Formstack,Formstack,twitter.com/,twitter.com/Formstack,51-200,An online form building application to create & design any type of HTML web form.,https://www.formstack.com/,"Indianapolis, IN",USA,Chris Byers,rchrisbyers,twitter.com/,twitter.com/rchrisbyers,https://www.formstack.com/careers
Legacy,Old,Fortumo,fortumo,twitter.com/,twitter.com/fortumo,51-200,"Direct carrier billing in 92 countries for apps, games, digital media companies...",https://fortumo.com/,Tartu,Estonia,Martin Koppel,martinkoppel,twitter.com/,twitter.com/martinkoppel,https://careers.fortumo.com/
WWR,Old,Forward Financing,fwd_financing,twitter.com/,twitter.com/fwd_financing,51-200,Finance + Technology for SMB,https://www.forwardfinancing.com/about/,"Boston, MA",USA,Justin Bakes,,,,www.forwardfinancing.com
Legacy,Old,Founder Centric,foundercentric,twitter.com/,twitter.com/foundercentric,1-10,We design and teach top tier startup education. ,www.foundercentric.com,London,UK,Rob Fitzpatrick,robfitz,twitter.com/,twitter.com/robfitz,
Legacy,Old,Foundersuite.com,Foundersuite,twitter.com/,twitter.com/Foundersuite,11-50,CRM for startups raising capital,https://foundersuite.com/,"San Francisco, CA",USA,Nathan Beckord,sailornathan,twitter.com/,twitter.com/sailornathan,https://foundersuite.com/jobs
WWR,Old,Foundr Magazine,foundr,twitter.com/,twitter.com/foundr,1-10,"digital resource for the growing ranks of craft, self-made entrepreneurs",https://foundr.com/about-us/,Melbourne,Australia,Nathan Chan ,,,https://twitter.com/NathanHChan,https://foundr.com/careers/content-marketer/
Legacy,Old,Four Kitchens,fourkitchens,twitter.com/,twitter.com/fourkitchens,11-50,We make BIG websites using open-source technology and user-centered design.,https://www.fourkitchens.com,"Austin, TX",USA,Todd Ross Nienkerk,toddross,twitter.com/,twitter.com/toddross,https://www.fourkitchens.com/careers/
Legacy,Old,fournova,fournova,twitter.com/,twitter.com/fournova,1-10,Developing apps and tools for developers,https://www.fournova.com/,,,Tobias Günther,gntr,twitter.com/,twitter.com/gntr,https://www.fournova.com/jobs
WWR,Old,FoxAndSheep,_foxandsheep,twitter.com/,twitter.com/_foxandsheep,1-10,Developing an exciting new camera app called Chomp,http://www.foxandsheep.com/team/,Berlin,Germany,Verena Pausder,,,https://twitter.com/VerenaDE,https://chomp.workable.com/
Legacy,Old,Foxio,foxiosays,twitter.com/,twitter.com/foxiosays,1-10,We partner with entrepreneurs to craft experience-focused web products that are a joy to use.,http://fox.io/,"Indianapolis, IN",USA,Peter Lockhart,thisispeter,twitter.com/,twitter.com/thisispeter,http://fox.io/jobs/
,Old,Frontastic GmbH,,,twitter.com/frontasticGmbH,1-10,Frontend as a Service – for API Economy,https://www.frontastic.cloud/,Münster,Germany,Thomas Gottheil,,,twitter.com/GottheilThomas,
Legacy,Old,FRSH,frshonline,twitter.com/,twitter.com/frshonline,1-10,Subscription based healthy meal plan delivery,http://www.frsh.com/#/,"Montreal, QC",Canada,Badal Goel,badalgoel2,twitter.com/,twitter.com/badalgoel2,
Legacy,Old,Fuel Made,fuelmade,twitter.com/,twitter.com/fuelmade,1-10,"We build solid solutions that work across platforms, screen sizes, and browsers, and that age well. ",http://fuelmade.com/,"Spokane, WA",USA,CARSON MCCOMAS,carson,twitter.com/,twitter.com/carson,http://fuelmade.com/pages/jobs
WWR,Old,FullStack,gofullstack,twitter.com/,twitter.com/gofullstack,1-10,"modern web and mobile technologies to build software products,",http://gofullstack.com/about/,"Iowa City, IA",USA,Josh Cramer,,,https://twitter.com/joshcramer,http://gofullstack.com/
Legacy,Old,Funding Gates,fundinggates,twitter.com/,twitter.com/fundinggates,11-50,"Funding Gates provides credit screening, monitoring and collection tools for SMBs",https://www.fundinggates.com,"New York, NY ",USA,Ismail Colak,ismail_colak,twitter.com/,twitter.com/ismail_colak,https://www.fundinggates.com/jobs/
Legacy,Old,Funnely,Funne_ly,twitter.com/,twitter.com/Funne_ly,1-10,Drive qualified leads at a lower cost and transform interested shoppers into buyers.,funne.ly/,"Mountain View, CA",USA,Lucila Campos,lupincampos,twitter.com/,twitter.com/lupincampos,angel list
Legacy,Old,Futurelytics,futurelytics,twitter.com/,twitter.com/futurelytics,1-10,Maximize customer loyalty and revenue. automation platform for e-commerce. ,www.futurelytics.com/,Ostrava,Czech Rep,Daniel Hastik,danhastik,twitter.com/,twitter.com/danhastik,angel list
WWR,Old,G2i,g2i_co,twitter.com/,twitter.com/g2i_co,1-10,React.js & React Native Development You Can Trust,https://jobs.lever.co/g2i," Delray Beach, FL",USA,Gabe Greenberg,,,https://twitter.com/gabe_g2i,https://g2i.co
,New,Gatekeeper,,,twitter.com/gatekeeperhq,1-10,Bringing clarity to supplier and contract data,https://www.gatekeeperhq.com/,"Vancouver, BC",Canada,Patrick O'Connor,,,,
Legacy,Old,GatherContent,GatherContent,twitter.com/,twitter.com/GatherContent,11-50,"Painlessly plan, organise and produce web con",https://gathercontent.com,London,UK,James Deer,,,https://twitter.com/jamesdeer,https://gathercontent.com/careers
,Old,Gear Stream,,,twitter.com/gearstream,,"Product Innovation, Delivery Speed, & Organizational Agility",https://www.gearstream.com/,"Raleigh, NC",USA,Brad Murphy,,,,
Legacy,Old,General Assembly,GA,twitter.com/,twitter.com/GA,11-50,Online and Campus education,https://generalassemb.ly,"New York, NY",USA,Jake Schwartz,jakeschwartz,twitter.com/,twitter.com/jakeschwartz,https://generalassemb.ly/careers
Legacy,Old,Genuitec,Genuitec,twitter.com/,twitter.com/Genuitec,51-200,Makers of the award winning MyEclipse technology suite for Java EE application development ,https://www.genuitec.com,"Flower Mound, TX",USA,Maher Masri,maherhmasri,twitter.com/,twitter.com/maherhmasri,https://www.genuitec.com/company/careers/
WWR,Old,GetFileCloud,tonido,twitter.com/,twitter.com/tonido,1-10,Organize enterprise information and make it universally accessible,https://www.getfilecloud.com/about-filecloud-team/,"Austin, TX",USA,Madhan Kanagavel,,,https://twitter.com/madhankk,https://www.getfilecloud.com/jobs/
WWR,Old,GetIncredibles,getincredibles,twitter.com/,twitter.com/getincredibles,1-10,Premium domains based marketplace for remote work.,https://angel.co/get-incredibles,"San Jose, CA",USA,Mannan Amin,,,,https://getincredibles.com
Legacy,Old,Ghost,tryghost,twitter.com/,twitter.com/tryghost,1-10,Publishing platform.,https://ghost.org/,Singapore,Singapore,John O'Nolan,JohnONolan,twitter.com/,twitter.com/JohnONolan,https://ghost.org/about/
Legacy,Old,Giant Swarm,giantswarm,twitter.com/,twitter.com/giantswarm,11-50,Managed Kubernetes Anywhere.,https://giantswarm.io/,"Köln, Germany",Germany,Henning Lange,henninglange,twitter.com/,twitter.com/henninglange,https://angel.co/giant-swarm/jobs
Legacy,Old,GigaOM,gigaom,twitter.com/,twitter.com/gigaom,51-200,"Technology news, trends and analysis covering mobile, big data, cloud, science, energy and media.",https://gigaom.com,"San Francisco, CA",USA,they just changed,,,,http://jobs.gigaom.com/
Legacy,Old,GigSalad,GigSalad,twitter.com/,twitter.com/GigSalad,11-50,Marketplace for hiring entertainment,https://www.gigsalad.com/,"Springfield, MO",USA,Mark Steiner,marksdiner,twitter.com/,twitter.com/marksdiner,https://gigsalad.workable.com/
Lukasz,Old,Gigster,trygigster,twitter.com/,twitter.com/trygigster,11-50,Vetted network of top 5% freelancers worldwide,https://gigster.com/,"San Francisco, CA",USA,Roger Dickey,,,https://twitter.com/rogerdickey,
WWR,Old,Gistia,GistiaLabs,twitter.com/,twitter.com/GistiaLabs,1-10,Javascript Engineering Experts,http://gistia.com/,"Miami, FL",USA,Carlos Taborda,,,https://twitter.com/cartab,http://www.gistia.com/
Legacy,Old,Gitbook ,gitbookio,twitter.com/,twitter.com/gitbookio,1-10,"GitBook is where you create, write and organize documentation and books with your team.",https://www.gitbook.com/,,USA,Aaron O'Mullan,aaronomullan,twitter.com/,twitter.com/aaronomullan,http://jobs.gitbook.com/
Legacy,Old,GitHub,github,twitter.com/,twitter.com/github,201-500,GitHub is where people build software,https://github.com/,"San Francisco, CA",USA,Chris Wanstrath,defunkt,twitter.com/,twitter.com/defunkt,https://jobs.github.com/
Legacy,Old,GitLab,gitlab,twitter.com/,twitter.com/gitlab,11-50,"GitLab includes git repository management, code reviews, issue tracking, wikis and much more.",https://gitlab.com/,"San Francisco, CA",USA,Sytse 'Sid' Sijbrandij,sytses,twitter.com/,twitter.com/sytses,https://about.gitlab.com/jobs/
Legacy,Old,GitPrime,gitprime,twitter.com/,twitter.com/gitprime,11-50,GitPrime is an analytics platform for software engineering performance,https://www.gitprime.com/,"Durango, CO",USA,Travis Kimmel,traviskimmel,twitter.com/,twitter.com/traviskimmel,https://www.gitprime.com/jobs
Legacy,Old,Gitter,gitchat,twitter.com/,twitter.com/gitchat,1-10,Where developers come to talk,https://gitter.im/,London,UK,Mike Bartlett,mydigitalself,twitter.com/,twitter.com/mydigitalself,http://jobs.gitter.im/
Legacy,Old,GlueNetworks ,gluenetworks,twitter.com/,twitter.com/gluenetworks,11-50,Pioneering the first intelligent automation engine and suite of networking applications,gluenetworks.com/,"Sacramento, Ca",USA,Jeff Gray,,twitter.com/,twitter.com/,
Legacy,Old,GMB Fitness,gmbfit,twitter.com/,twitter.com/gmbfit,11-50,Online fitness training,https://gmb.io,,,Andy Fossett,AndyFossett,twitter.com/,twitter.com/AndyFossett,https://gmb.io/hiring/
Legacy,Old,Go Fish Digita,gofishdigital,twitter.com/,twitter.com/gofishdigital,11-50,"Specializing in Online Reputation Management, Search Engine Optimization, ...",gofishdigital.com,"McLean, Virginia ",USA,Brian Patterson,brianspatterson,twitter.com/,twitter.com/brianspatterson,http://gofishdigital.com/careers/
Legacy,Old,GOFAR,gofarcar,twitter.com/,twitter.com/gofarcar,1-10,"We log, score and improve driving beautifully",http://www.gofar.co/,Sydney,Australia,Danny Adams,,,,http://www.gofar.co/jobs
Legacy,Old,GoHiring,gohiring,twitter.com/,twitter.com/gohiring,1-10,We are a bunch of technology geeks with a strong background in E-Recruitment.,http://www.gohiring.com/,Berlin,Germany,Florian Behn,JonathanDuarte,twitter.com/,twitter.com/flobehn,http://www.gohiring.com/jobs.html
Legacy,Old,Goodway Group,goodwaygroup,twitter.com/,twitter.com/goodwaygroup,51-200,A managed services programmatic media company,https://goodwaygroup.com/,"Jenkintown, PA",USA,David Wolk,,,,https://goodwaygroup.com/careers/
,Old,GotSoccer,,,twitter.com/GotSoccer,1-10,Soccer's #1 Software Solution,https://home.gotsoccer.com/,"Neptune Beach, FL",USA,Gavin Owen-Thomas,,,,
,Old,GovPredict,,,twitter.com/GovPredict,11-50,"Research, analytics, and actionable intelligence for winning public affairs campaigns",https://govpredict.com/,"Washington, DC",USA,Emil Pitkin,,,,
Legacy,Old,GrabCAD,grabcad,twitter.com/,twitter.com/grabcad,11-50,world's largest community of mechanical engineers.,https://grabcad.com/,"Cambridge, MA",USA,Hardi Meybaum,,,,http://blog.grabcad.com/jobs/
,New,Gradient Metrics,,,twitter.com/gradientmetrics,1-10,Marketers and technologists that build robust models to guide managers in their decisions.,http://gradientmetrics.com/,"New York, NY",USA,Tom Vladeck,,,,
Lukasz,Old,Gradle,gradle,twitter.com/,twitter.com/gradle,11-50,"Open Source Build Tool ; Enterprise SaaS and on-premise. Fully remote. Java, Groovy, Kotlin.",https://gradle.com/careers,"San Francisco, CA",USA,Hans Dockter,,,https://twitter.com/hans_d,
Legacy,Old,GrantStreet,N/A,twitter.com/,N/A,51-200,Software at your service. ,https://www.grantstreet.com/,US,USA,Myles Harrington,,,,https://www.grantstreet.com/careers/
Legacy,Old,Grape.io,chatgrapecom,twitter.com/,twitter.com/chatgrapecom,1-10,Big Enterprise Messaging,https://chatgrape.com/,Vienna,Austria,Felix Häusler,felix_hau,twitter.com/,twitter.com/felix_hau,https://chatgrape.com/jobs/
Legacy,Old,GrapheneDB,graphenedb,twitter.com/,twitter.com/graphenedb,1-10,Cloud hosted Neo4j graph databases,http://www.graphenedb.com/,Canary Islands,Spain,Juanjo Andrés,albertoperdomo,twitter.com/,,https://remoteok.io/remote-startups/graphenedb
Legacy,Old,Grasswire,Grasswire,twitter.com/,twitter.com/Grasswire,11-50,The most important news in the world curated and fact-checked by you.,https://grasswire.com,"San Francisco, CA",USA,Austen Allred,AustenAllred,twitter.com/,twitter.com/AustenAllred,
Legacy,Old,Graylog,graylog2,twitter.com/,twitter.com/graylog2,11-50,Graylog is the leading open source log management platform.,https://www.graylog.org,"Houston, TX",USA,Michael Sklar,michaelsklar,twitter.com/,twitter.com/michaelsklar,https://www.graylog.org/jobs/
WWR,Old,Greenback Tax Services,GreenbackTax,twitter.com/,twitter.com/GreenbackTax,11-50,Expat Tax Services,https://www.greenbacktaxservices.com/jobs/,,USA,Carrie McKeegan,,,https://twitter.com/cpmckeegan,www.greenbacktaxservices.com
Legacy,Old,Gridium,gridium,twitter.com/,twitter.com/gridium,11-50,SAAS software for buildings,https://gridium.com/,"Menlo Park, CA",USA,Tom Arnold,TheTomArnold,twitter.com/,twitter.com/TheTomArnold,https://gridium.com/about/working-at-gridium/
,,Gower St Analytics,,,twitter.com/gsa_tech,11-50,Improve efficiency of the global theatrical market through data science,https://gower.st,London,UK,Dimitrios Mitsinikos,,,,
Legacy,Old,Groove,groove,twitter.com/,twitter.com/groove,11-50,See why 3000+ businesses have made the switch to the world's simplest help desk. ,https://www.groovehq.com/,"Mill Valley, CA",USA,Ethan Giffin,opie,twitter.com/,twitter.com/opie,
,New,Growth Staff,,,N/A,1-10,We are your VP of Marketing + Entire Growth Team,https://growthstaff.co/,"Phoenix, AZ",USA,,,,,
Legacy,Old,GuardTime,guardtime,twitter.com/,twitter.com/guardtime,51-200,Data-Centric Security.,https://guardtime.com/,Tallinn,Estonia,Mike Gault,mgault,twitter.com/,twitter.com/mgault,https://guardtime.com/about/jobs
Legacy,Old,Hanno,wearehanno,twitter.com/,twitter.com/wearehanno,1-10,A UX design team building digital products for changemakers,https://hanno.co/,London,UK,Jon Lay,jon_lay,twitter.com/,twitter.com/jon_lay,https://github.com/wearehanno/playbook/wiki/New-Hires
